id,title,venue_name,venue_ids,author
meta:br/06101331377 doi:10.1038/s41467-019-13654-9,An Ultra-Stable Cytoplasmic Antibody Engineered For In Vivo Applications,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Kabayama, Hiroyuki; Takeuchi, Makoto; Tokushige, Naoko; Muramatsu, Shin-ichi; Kabayama, Miyuki; Fukuda, Mitsunori; Yamada, Yoshiyuki; Mikoshiba, Katsuhiko"
meta:br/06101331708 doi:10.1038/ncomms6500,Asymmetric Trapping Of Zwitterionic Intermediates By Sulphur Ylides In A Palladium-Catalysed Decarboxylation-Cycloaddition Sequence,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Li, Tian-Ren; Tan, Fen; Lu, Liang-Qiu; Wei, Yi; Wang, Ya-Ni; Liu, Yi-Yin; Yang, Qing-Qing; Chen, Jia-Rong; Shi, De-Qing; Xiao, Wen-Jing"
meta:br/06101331545 doi:10.1038/ncomms6571,Evolution Of Oil Droplets In A Chemorobotic Platform,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Gutierrez, Juan Manuel Parrilla; Hinkley, Trevor; Taylor, James Ward; Yanev, Kliment; Cronin, Lee"
meta:br/06101331577 doi:10.1038/ncomms6576,Long Non-Coding RNA-mediated Transcriptional Interference Of A Permease Gene Confers Drug Tolerance In Fission Yeast,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Ard, Ryan; Tong, Pin; Allshire, R C"
meta:br/06101331104 doi:10.1038/s41467-020-14512-9,Publisher Correction: A Deep-Learning Technique For Phase Identification In Multiphase Inorganic Compounds Using Synthetic XRD Powder Patterns,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Lee, Jin-Woong; Park, Woon Bae; Lee, Jin Hee; Singh, Satendra Pal; Sohn, Kee-Sun"
meta:br/06101331784 doi:10.1038/ncomms6433,Cytoplasmic parafibromin/hCdc73 Targets And Destabilizes P53 mRNA To Control P53-Mediated Apoptosis,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Jo, Jay-Hyun; Chung, Tae-Moon; Youn, Hyewon; Yoo, Joo-Yeon"
meta:br/06101331441 doi:10.1038/s41467-019-13802-1,Holographic Detection Of Nanoparticles Using Acoustically Actuated Nanolenses,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Ray, Aniruddha; Khalid, Arslan; Demcenko, Andriejus; Daloglu, Mustafa; Tseng, Derek; Reboud, Julien; Cooper, Jon; Ozcan, Aydogan"
meta:br/06101331150 doi:10.1038/s41467-020-14485-9,Ultraflexible And Transparent Electroluminescent Skin For Real-Time And Super-Resolution Imaging Of Pressure Distribution,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Lee, Byeongmoon; Oh, Ji-Young; Cho, Hyeon; Joo, Chul Woong; Yoon, Hyungsoo; Jeong, Sujin; Oh, Eunho; Byun, Junghwan; Kim, Hanul; Lee, Seunghwan; Seo, Jiseok; Park, Chan Woo; Choi, Sukyung; Park, Nae-Man; Kang, Seung-Youl; Hwang, Chi-Sun; Ahn, Seong-Deok; Lee, Jeong-Ik; Hong, Yongtaek"
meta:br/06101331560 doi:10.1038/ncomms6664,Real-time Earthquake Monitoring Using A Search Engine Method,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Zhang, Jie; Zhang, Haijiang; Chen, Enhong; Zheng, Yi; Kuang, Wenhuan; Zhang, Xiong"
meta:br/06101331945 doi:10.1038/ncomms6318,The Key Role Of Transient Receptor Potential Melastatin-2 Channels In Amyloid-Β-Induced Neurovascular Dysfunction,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Park, L.; Wang, G.; Moore, J.; Girouard, H.; Zhou, P.; Anrather, J.; Iadecola, Costantino"
meta:br/06101331093 doi:10.1038/s41467-020-14427-5,Author Correction: Blood–brain Barrier Permeable Nano Immunoconjugates Induce Local Immune Responses For Glioma Therapy,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Galstyan, Anna; Markman, Janet; Shatalova, Ekaterina S.; Chiechi, Antonella; Korman, Alan J.; Patil, Rameshwar; Klymyshyn, Dmytro; Tourtellotte, Warren G.; Israel, Liron L.; Braubach, Oliver; Ljubimov, Vladimir A.; Mashouf, Leila A.; Ramesh, Arshia; Grodzinski, Zachary B.; Penichet, Manuel L.; Black, Keith L; Holler, Eggehard; Sun, Tao; Ding, Hui; Ljubimov, Alexander V.; Ljubimova, Julia Y."
meta:br/06101331846 doi:10.1038/ncomms6329,Versatile Control Of Plasmodium Falciparum Gene Expression With An Inducible protein–RNA Interaction,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Goldfless, Stephen J.; Wagner, Jeffrey C.; Niles, Jacquin C."
meta:br/06101331776 doi:10.1038/ncomms6389,Crown Ethers In Graphene,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Guo, Junjie; Lee, Jaekwang; Contescu, Cristian; Gallego, Nidia; Pantelides, Sokrates T.; Pennycook, Stephen J.; Moyer, Bruce A; Chisholm, Matthew F."
meta:br/06101331629 doi:10.1038/ncomms6559,An Intuitive And Efficient Method For Cell Voltage Prediction Of Lithium And Sodium-Ion Batteries,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Saubanère, M.; Yahia, M. Ben; Lebègue, S.; Doublet, Marie-Liesse"
meta:br/06101331378 doi:10.1038/s41467-019-14257-0,Polypeptide Templating For Designer Hierarchical Materials,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Sun, Hui; Marelli, Benedetto"
meta:br/06101331828 doi:10.1038/ncomms6405,Cooperative Dual Palladium/Silver Catalyst For Direct Difluoromethylation Of Aryl Bromides And Iodides,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Gu, Yang; Leng, Xuebing; Shen, Qilong"
meta:br/06101331492 doi:10.1038/s41467-019-13897-6,A Set Of Monomeric Near-Infrared Fluorescent Proteins For Multicolor Imaging Across Scales,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Matlashov, Mikhail E.; Shcherbakova, Daria M.; Alvelid, Jonatan; Baloban, Mikhail; Pennacchietti, Francesca; Shemetov, Anton A.; Testa, Ilaria; Verkhusha, Vladyslav"
meta:br/06101331379 doi:10.1038/s41467-019-14183-1,TDP-43 Facilitates Milk Lipid Secretion By Post-Transcriptional Regulation Of Btn1a1 And Xdh,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Zhao, Limin; Ke, Hao; Xu, Haibo; Wang, Guo-Dong; Zhang, Honglei; Zou, Li; Xiang, Shu; Li, Mengyuan; Peng, Li; Zhou, Mingfang; Li, Lingling; Ao, Lei; Yang, Qin; Shen, Che-Kun James; Yi, Ping; Wang, Lu; Jiao, Baowei"
meta:br/06101331803 doi:10.1038/ncomms6392,Mind-controlled Transgene Expression By A Wireless-Powered Optogenetic Designer Cell Implant,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Folcher, Marc; Oesterle, Sabine; Zwicky, Katharina; Thekkottil, Thushara; Heymoz, Julie; Hohmann, Muriel; Christen, Matthias; Daoud El-Baba, Marie; Buchmann, Peter; Fussenegger, Martin"
meta:br/06101331885 doi:10.1038/ncomms6316,Cell Type-Specific Plasticity Of Striatal Projection Neurons In Parkinsonism And L-DOPA-induced Dyskinesia,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Fieblinger, Tim; Graves, Steven M.; Sebel, Luke E; Alcacer, Cristina; Plotkin, Joshua L; Gertler, Tracy S.; Chan, C. Savio; Heiman, Myriam; Greengard, Paul; Cenci, M.A; Surmeier, D. James"
meta:br/06101331179 doi:10.1038/s41467-019-14179-x,Studying Biomolecular Folding And Binding Using Temperature-Jump Mass Spectrometry,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Marchand, Adrien; Czar, Martin F.; Eggel, Elija N.; Kaeslin, Jérôme; Zenobi, Renato"
meta:br/06101331841 doi:10.1038/ncomms6365,Circadian Rhythms Of Hydraulic Conductance And Growth Are Enhanced By Drought And Improve Plant Performance,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Oliveira, Guilherme; Jeanguenin, Linda; Chaumont, François; Tardieu, Francois"
meta:br/06101331343 doi:10.1038/s41467-019-14028-x,JMJD3 And UTX Determine Fidelity And Lineage Specification Of Human Neural Progenitor Cells,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Shan, Yongli; Zhang, Yanqi; Zhao, Yuan; Wang, Tianyu; Zhang, Jingyuan; Yao, Jiao; Ma, Ning; Liang, Zechuan; Huang, Wenhao; Huang, Ke; Zhang, Tian; Su, Zhenghui; Chen, Qianyu; Zhu, Yanling; Wu, Chuman; Zhou, Tiancheng; Sun, Wei; Wei, Yanxing; Zhang, Cong; Li, Chenxu; Su, Shuquan; Liao, Baojian; Zhong, Mei; Zhong, Xiaofen; Nie, Jinfu; Pei, Duanqing; Pan, Guangjin"
meta:br/06101331412 doi:10.1038/s41467-019-14201-2,A Spontaneous Mitonuclear Epistasis Converging On Rieske Fe-S Protein Exacerbates Complex III Deficiency In Mice,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Purhonen, Janne; Grigorjev, Vladislav; Ekiert, Robert; Aho, Noora; Rajendran, Jayasimman; Pietras, Rafał; Truvé, Katarina; Wikström, Mårten; Sharma, Vivek; Osyczka, Artur; Fellman, Vineta; Kallijärvi, Jukka"
meta:br/06101331974 doi:10.1038/ncomms6200,Vascular Channels Formed By Subpopulations Of PECAM1+ Melanoma Cells,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"M. Dunleavey, James; Xiao, Lin; Thompson, Joshua; Kim, Mi Mi; Shields, Janiel M.; Shelton, Sarah E.; Irvin, David M.; Brings, Victoria E; Ollila, David W.; Brekken, Rolf A.; Dayton, Paul A.; Melero-Martin, Juan M.; Dudley, Andrew C."
meta:br/06101331030 doi:10.1038/s41467-020-14609-1,Rapid And Site-Specific Deep Phosphoproteome Profiling By Data-Independent Acquisition Without The Need For Spectral Libraries,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Bekker-Jensen, Dorte B.; Bernhardt, Oliver M.; Hogrebe, Alexander; Martinez-Val, Ana; Verbeke, Lynn; Gandhi, Tejas; Kelstrup, Christian D; Reiter, Lukas; Olsen, J V"
meta:br/06101331420 doi:10.1038/s41467-019-14173-3,Microglial Activation Increases Cocaine Self-Administration Following Adolescent Nicotine Exposure,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Linker, K. E.; Gad, M.; Tawadrous, P.; Cano, M.; Green, K. N.; Wood, M. A.; Leslie, F. M."
meta:br/06101331657 doi:10.1038/ncomms6593,GWAS Identifies Four Novel Eosinophilic Esophagitis Loci,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Sleiman, Patrick M. A.; Wang, Mei-Lun; Cianferoni, Antonella; Aceves, Seema; Gonsalves, Nirmala; Nadeau, Kari; Jan Bredenoord, Albert; Furuta, Glenn T.; Spergel, Jonathan; Hakonarson, Hakon"
meta:br/06101331529 doi:10.1038/ncomms6598,Observing Classical Nucleation Theory At Work By Monitoring Phase Transitions With Molecular Precision,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Sleutel, Mike; Lutsko, Jim; Van Driessche, Alexander E.S.; Durán-Olivencia, Miguel A; Maes, Dominique"
meta:br/06101331495 doi:10.1038/s41467-019-13971-z,Publisher Correction: Orthogonal Regulation Of DNA Nanostructure Self-Assembly And Disassembly Using Antibodies,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Ranallo, Simona; Sorrentino, Daniela; Ricci, Francesco"
meta:br/06101331301 doi:10.1038/s41467-020-14321-0,Structural Basis Of Subtype-Selective Competitive Antagonism For GluN2C/2D-containing NMDA Receptors,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Wang, Jue Xiang; Irvine, Mark; Burnell, Erica S.; Sapkota, Kiran; Thatcher, Robert J.; Li, Minjun; Simorowski, Noriko; Volianskis, Arturas; Collingridge, Graham L.; Monaghan, Daniel T.; Jane, David E.; Furukawa, Hiro"
meta:br/06101331710 doi:10.1038/ncomms6301,An Antioxidant Nanozyme That Uncovers The Cytoprotective Potential Of Vanadia Nanowires,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Vernekar, Amit Ashok; Sinha, Devanjan; Srivastava, Shubhi; Paramasivam, Prasath U.; D’Silva, Patrick; Mugesh, Govindasamy"
meta:br/06101331309 doi:10.1038/s41467-019-14248-1,A First Principles Method To Determine Speciation Of Carbonates In Supercritical Water,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Pan, Ding; Galli, Giulia"
meta:br/06101331010 doi:10.1038/s41467-020-14340-x,Sustained Treatment Of Retinal Vascular Diseases With Self-Aggregating Sunitinib Microparticles,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Tsujinaka, Hiroki; Fu, Jie; Shen, Jikui; Yu, Yun; Hafiz, Zibran; Kays, Joshua; McKenzie, David; Cardona, Delia; Culp, David; Peterson, Ward; Gilger, Brian; Crean, Christopher S.; Zhang, Jin-Zhong; Kanan, Yogita; Yu, Weiling; Cleland, Jeffrey L.; Yang, Ming; Hanes, Justin; Campochiaro, Peter A."
meta:br/06101331244 doi:10.1038/s41467-020-14293-1,YAP/TAZ Direct Commitment And Maturation Of Lymph Node Fibroblastic Reticular Cells,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Choi, Sung Yong; Bae, Hosung; Jeong, Sun-Hye; Park, Intae; Cho, Hyunsoo; Hong, Seon Pyo; Lee, Da-Hye; Lee, Choong-kun; Park, Jin-Sung; Suh, Sang Heon; Choi, Jeongwoon; Yang, Myung Jin; Jang, Jeon Yeob; Onder, Lucas; Moon, Jeong Hwan; Jeong, Han-Sin; Adams, Ralf; Kim, Jin-Man; Ludewig, Burkhard; Song, Joo-Hye; Lim, Dae-Sik; Koh, Gou Young"
meta:br/06101331090 doi:10.1038/s41467-020-14380-3,Reversible Interconversion Between Methanol-Diamine And Diamide For Hydrogen Storage Based On Manganese Catalyzed (De)Hydrogenation,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Shao, Zhihui; Li, Yang; Liu, Chenguang; Ai, Wenying; Luo, Shu-Ping; Liu, Qiang"
meta:br/06101331726 doi:10.1038/ncomms6274,Dynamic Analyses Of Alternative Polyadenylation From RNA-seq Reveal A 3′-UTR Landscape Across Seven Tumour Types,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Xia, Zheng; Donehower, Lawrence A.; Cooper, Thomas A.; Neilson, J R; Wheeler, David A.; Wagner, Eric J.; Li, Wei"
meta:br/06101331109 doi:10.1038/s41467-019-13989-3,Modeling Medulloblastoma In Vivo And With Human Cerebellar Organoids,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Ballabio, Claudio; Anderle, Marica; Gianesello, Matteo; Lago, Chiara; Miele, Evelina; Cardano, Marina; Aiello, Giuseppe; Piazza, Silvano; Caron, Davide; Gianno, Francesca; Ciolfi, Andrea; Pedace, Lucia; Mastronuzzi, Angela; Tartaglia, Marco; Locatelli, Franco; Ferretti, Elisabetta; Giangaspero, Felice; Tiberi, Luca"
meta:br/06101331811 doi:10.1038/ncomms6286,High-resolution Structure And Mechanism Of An F/V-hybrid Rotor Ring In A Na+-coupled ATP Synthase,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Matthies, Doreen; Zhou, Wenchang; Klyszejko, Adriana L.; Anselmi, Claudio; Yildiz, Özkan; Brandt, Karsten; Müller, Volker; Faraldo-Gómez, José D.; Meier, Thomas"
meta:br/06101331870 doi:10.1038/ncomms6328,Tracing Carbonate–Silicate Interaction During Subduction Using Magnesium And Oxygen Isotopes,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Wang, Shui-Jiong; Teng, Fang-Zhen; Li, Shu-Guang"
meta:br/06101331826 doi:10.1038/ncomms6403,Spatially Resolved One-Dimensional Boundary States In Graphene–Hexagonal Boron Nitride Planar Heterostructures,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Park, Jewook; Lee, Jaekwang; Liu, Lei; Clark, Kendal W.; Durand, Corentin; Park, Changwon; Sumpter, Bobby G; Baddorf, Arthur P; Mohsin, Ali; Yoon, Mina; Gu, Gong; Li, An-Ping"
meta:br/06101331111 doi:10.1038/s41467-020-14474-y,Ocean Circulation Causes The Largest Freshening Event For 120 Years In Eastern Subpolar North Atlantic,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Holliday, N. Penny; Bersch, Manfred; Berx, Barbara; Chafik, Léon; Cunningham, Stuart; Florindo-López, Cristian; Hátún, Hjálmar; Johns, William; Josey, Simon; Larsen, Karin; Mulet, Sandrine; Oltmanns, Marilena; Reverdin, Gilles; Rossby, Thomas; Thierry, Virginie; Valdimarsson, Hedinn; Yashayaev, Igor"
meta:br/06101331665 doi:10.1038/ncomms6406,BRMS1L Suppresses Breast Cancer Metastasis By Inducing Epigenetic Silence Of FZD10,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Gong, Chang; Qu, Shaohua; Lv, Xiao-Bin; Liu, Bodu; Tan, Weige; Nie, Yan; Su, Fengxi; Liu, Qiang; Yao, Herui; Song, Erwei"
meta:br/06101331345 doi:10.1038/s41467-020-14320-1,Nickel-catalyzed Allylic Carbonylative Coupling Of Alkyl Zinc Reagents With Tert-Butyl Isocyanide,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Weng, Yangyang; Zhang, Chenhuan; Tang, Zaiquan; Shrestha, Mohini; Huang, Wenyi; Qu, Jingping; Chen, Yifeng"
meta:br/06101331182 doi:10.1038/s41467-020-14359-0,Robust Ultraclean Atomically Thin Membranes For Atomic-Resolution Electron Microscopy,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Zheng, Liming; Chen, Yanan; Li, Ning; Zhang, Jincan; Liu, Nan; Liu, Junjie; Dang, Wenhui; Deng, Bing; Li, Yanbin; Gao, Xiaoyin; Tan, Congwei; Yang, Zi; Xu, Shipu; Wang, Mingzhan; Yang, Hao; Sun, Luzhao; Cui, Yi; Wei, Xiaoding; Gao, Peng; Wang, Hong-Wei; Peng, Hailin"
meta:br/06101331263 doi:10.1038/s41467-019-13934-4,Peptidoglycan Reshaping By A Noncanonical Peptidase For Helical Cell Shape In Campylobacter Jejuni,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Min, Kyungjin; An, Doo Ri; Yoon, Hye-Jin; Rana, Neha; Park, Ji Su; Kim, Jinshil; Lee, Mijoon; Hesek, Dusan; Ryu, Sangryeol; Kim, B. Moon; Mobashery, Shahriar; Suh, Se Won; Lee, Hyung Ho"
meta:br/06101331025 doi:10.1038/s41467-020-14568-7,APOBEC3B-mediated Corruption Of The Tumor Cell Immunopeptidome Induces Heteroclitic Neoepitopes For Cancer Immunotherapy,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Driscoll, C B; Schuelke, Matthew; Kottke, Timothy; Thompson, Jill M.; Wongthida, Phonphimon; Tonne, Jason M.; Huff, Amanda L.; Miller, Amber; Shim, Kevin G.; Molan, Amy; Wetmore, Cynthia; Selby, Peter; Samson, Adel; Harrington, Kevin; Pandha, Hardev; Melcher, Alan; Pulido, Jose S.; Harris, Reuben S; Evgin, Laura; Vile, Richard G."
meta:br/06101331901 doi:10.1038/ncomms6270,Evolutionary Expansion Of A Regulatory Network By Counter-Silencing,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Will, W. Ryan; Bale, Denise H.; Reid, Philip J.; Libby, Stephen J.; Fang, Ferric"
meta:br/06101331946 doi:10.1038/ncomms6224,Genomic Catastrophes Frequently Arise In Esophageal Adenocarcinoma And Drive Tumorigenesis,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Nones, Katia; Waddell, Nicola; Wayte, Nicci; Patch, Ann-Marie; Bailey, Peter; Newell, Felicity; Holmes, Oliver; Fink, J. Lynn; Quinn, Michael C. J.; Tang, Yue Hang; Lampe, Guy; Quek, Kelly; Loffler, K A; Manning, Suzanne; Idrisoglu, Senel; Miller, David; Xu, Qinying; Waddell, Nick; Wilson, Peter J.; Bruxner, Timothy J; Christ, Angelika; Harliwong, Ivon; Nourse, Craig; Nourbakhsh, Ehsan; Anderson, Matthew; Kazakoff, Stephen; Leonard, Conrad; Wood, Scott; Simpson, Peter; Reid, Lynne E.; Krause, Lutz; Hussey, Damian J; Watson, David I; Lord, Reginald V; Nancarrow, Derek; Phillips, Wayne; Gotley, David; Smithers, B. Mark; Whiteman, David; Hayward, Nicholas; Campbell, Peter J.; Pearson, John V; Grimmond, Sean; Barbour, Andrew"
meta:br/06101331089 doi:10.1038/s41467-020-14476-w,Vibronic Coherence Contributes To Photocurrent Generation In Organic Semiconductor Heterojunction Diodes,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Bian, Qingzhen; Ma, Fei; Chen, Shula; Wei, Qi; Su, Xiaojun; Buyanova, Irina A; Chen, Weimin M; Ponseca, Carlito S.; Linares, Mathieu; Karki, Khadga; Yartsev, Arkady; Inganäs, Olle"
meta:br/06101331326 doi:10.1038/s41467-019-14038-9,Golgi Organization Is Regulated By Proteasomal Degradation,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Eisenberg-Lerner, Avital; Benyair, Ron; Hizkiahou, Noa; Nudel, Neta; Maor, Roey; Kramer, M P; Shmueli, Merav D.; Zigdon, Inbal; Cherniavsky Lev, Marina; Ulman, Adi; Sagiv, Jitka Yehudith; Dayan, Molly; Dassa, Bareket; Rosenwald, Mercedes; Shachar, Idit; Li, Jie; Wang, Yanzhuang; Dezorella, Nili; Khan, Suman; Porat, Ziv; Shimoni, Eyal; Avinoam, Ori; Merbl, Yifat"
meta:br/06101331250 doi:10.1038/s41467-020-14374-1,Targeting Glutamine Metabolism Slows Soft Tissue Sarcoma Growth,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Lee, Pearl; Malik, Dania; Perkons, Nicholas; Huangyang, Peiwei; Khare, Sanika; Rhoades, Seth; Gong, Yao-Yu; Burrows, Michelle; Finan, Jennifer M.; Nissim, Itzhak; Gade, Terence P F; Weljie, Aalim M.; Simon, M. Celeste"
meta:br/06101331362 doi:10.1038/s41467-019-13791-1,Ultrafast Transient Liquid Assisted Growth Of High Current Density Superconducting Films,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Soler, L.; Jareño, J.; Banchewski, J.; Rasi, Silvia; Chamorro, N.; Guzman, Roger; Yáñez, Ramón; Mocuta, Cristian; Ricart, S.; Farjas, Jordi; Roura-Grabulosa, P.; Obradors, X.; Puig, Teresa"
meta:br/06101331405 doi:10.1038/s41467-019-14086-1,PI3KC2α-dependent And VPS34-independent Generation Of PI3P Controls Primary Cilium-Mediated Autophagy In Response To Shear Stress,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Boukhalfa, Asma; Nascimbeni, Anna Chiara; Ramel, Damien; Dupont, Nicolas; Hirsch, Emilio; Gayral, Stéphanie; Laffargue, Muriel; Codogno, Patrice; Morel, Etienne"
meta:br/06101331799 doi:10.1038/ncomms6449,SiO And CH3OH Mega-Masers In NGC 1068,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Wang, JunZhi; Zhang, Jiangshui; Gao, Yu; Zhang, ZhiYu; Li, Di; Fang, Min; Shi, Yong"
meta:br/06101331305 doi:10.1038/s41467-019-14041-0,Author Correction: Chemokine Receptor Trafficking Coordinates Neutrophil Clustering And Dispersal At Wounds In Zebrafish,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Coombs, Caroline; Georgantzoglou, Antonios; Walker, Hazel A.; Patt, Julian; Merten, Nicole; Poplimont, Hugo; Busch-Nentwich, Elisabeth M; Williams, Sarah; Kotsi, Christina; Kostenis, Evi; Sarris, Milka"
meta:br/06101331948 doi:10.1038/ncomms6344,Implementation Of The CRISPR-Cas9 System In Fission Yeast,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Jacobs, Jake Z.; Ciccaglione, Keith M.; Tournier, Vincent; Zaratiegui, Mikel"
meta:br/06101331658 doi:10.1038/ncomms6323,Long Noncoding RNA PANDA And Scaffold-Attachment-Factor SAFA Control Senescence Entry And Exit,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Puvvula, Pavan Kumar; Desetty, Rohini Devi; Pineau, Pascal; Marchio, Agnés; Moon, Anne; Dejean, Anne; Bischof, Oliver"
meta:br/06101331595 doi:10.1038/ncomms6580,Ultralow Mode-Volume Photonic Crystal Nanobeam Cavities For High-Efficiency Coupling To Individual Carbon Nanotube Emitters,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Miura, R.; Imamura, S.; Ohta, R.; Ishii, Akihiro; Liu, X.; Shimada, Takashi; Iwamoto, Satoshi; Arakawa, Y.; K. Kato, Yuichiro"
meta:br/06101331681 doi:10.1038/ncomms6421,Structure And Function Of A Spectrin-Like Regulator Of Bacterial Cytokinesis,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Cleverley, Robert M.; Barrett, Jeff; Baslé, Arnaud; Bui, Nhat Khai; Hewitt, Lorraine; Solovyova, Alexandra; Xu, Zhi-Qiang; Daniel, Richard; Dixon, Nicholas E; Harry, Elizabeth; Oakley, Aaron; Vollmer, Waldemar; Lewis, Richard J"
meta:br/06101331433 doi:10.1038/s41467-019-14166-2,Electrophysiological Dynamics Of Antagonistic Brain Networks Reflect Attentional Fluctuations,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Kucyi, Aaron; Daitch, Amy; Raccah, Omri; Zhao, Baotian; Zhang, Chao; Esterman, Michael; Zeineh, Michael; Halpern, Casey H.; Zhang, Kai; Zhang, Jianguo; Parvizi, Josef"
meta:br/06101331350 doi:10.1038/s41467-020-14356-3,The Origins Of Acoustic Communication In Vertebrates,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Chen, Zhuo; Wiens, John J"
